Produto;Categoria;Preco;Quantidade;Data_Venda
Caderno A4;Papelaria;2,50;10;2026-01-05
Caneta Azul;Papelaria;0,80;50;2026-01-05
Mochila Escolar;Acessórios;24,90;3;2026-01-06
Calculadora Científica;Tecnologia;18,50;4;2026-01-06
Marcadores;Papelaria;4,20;8;2026-01-07
Estojo;Acessórios;6,75;6;2026-01-07
Pen USB 64GB;Tecnologia;9,99;7;2026-01-08
Agenda 2026;Papelaria;7,50;5;2026-01-08
Régua 30cm;Papelaria;1,20;20;2026-01-09
Auriculares;Tecnologia;14,90;2;2026-01-09
Lápis HB;Papelaria;0,60;40;2026-01-10
Compasso;Papelaria;3,90;9;2026-01-10
Garrafa Térmica;Acessórios;12,50;4;2026-01-11
Mouse Wireless;Tecnologia;11,99;5;2026-01-11
Bloco de Notas;Papelaria;1,75;15;2026-01-12
Teclado USB;Tecnologia;16,90;2;2026-01-12
Pasta Arquivo;Papelaria;2,20;12;2026-01-13
Mochila Desportiva;Acessórios;29,90;2;2026-01-13
Cartolina;Papelaria;0,45;60;2026-01-14
Powerbank;Tecnologia;22,50;3;2026-01-14